"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1004",91.3369916275845,-1.9433523764841,0.691266702795678,-2.81129174691134,0.00493430216541003,0.0212791780883307
"g1010",92.4785795506085,1.49143989253686,0.544253933621259,2.74033828770586,0.00613759766156214,0.0254317689005199
"g1015",722.230451736341,1.33385474013605,0.349723715939778,3.814024269277,0.000136722032799487,0.00099989800024325
"g1018",707.809639461029,1.14329235506294,0.336979029226867,3.39277004176196,0.000691896962172047,0.00401115130871231
"g1021",185.003858212668,-8.30412263922164,1.31618793817796,-6.30922256491521,2.80440588584682e-10,6.357988772627e-09
"g1024",11.885093350426,-6.87157357435664,2.70627831217086,-2.53912302495029,0.0111130737262759,0.0416937305049642
"g1026",738.335647971523,1.04094877109143,0.35821088658367,2.90596631782796,0.00366120857417563,0.0166062138856022
"g1027",108.118845713366,1.92868280367264,0.468231582859865,4.11907883678549,3.80389997327323e-05,0.000324558562235732
"g1028",430.308731469523,1.41581875178498,0.562596256247503,2.51658047145291,0.0118499836070075,0.0438366526441048
"g1035",99.4141331959987,-5.79129526010065,1.71552678239762,-3.37581162796347,0.00073598290854688,0.00421662410059169
"g1061",599.066300854915,-3.0966000195059,0.601212818343479,-5.15058881817917,2.5966992325933e-07,3.492340408581e-06
"g1062",7325.01714691172,2.31423393021879,0.73655077922389,3.14198829937743,0.00167804741563254,0.0085905201568027
"g1075",170.374807572348,-0.918846877765058,0.343017963953263,-2.67871357865751,0.00739055822686006,0.0296182219849165
"g108",2140.36852725466,-1.09683795488177,0.3572564454837,-3.07016981428208,0.0021393709350217,0.0105113983711438
"g109",12.7738889918176,-7.05333059326042,2.84573382491278,-2.47856300948196,0.0131912809572159,0.0471499163943729
"g1092",1434.0759668877,-1.73942023391785,0.358390114767289,-4.85342692849467,1.21346066301565e-06,1.47004738336323e-05
"g1093",62.5342662807333,-4.58239827950827,1.38517463318971,-3.30817369139671,0.000939065482094251,0.00519267219541316
"g1104",142.533320482818,-7.48583871415316,1.26432844633339,-5.92080225345118,3.203748977552e-09,6.43588560427218e-08
"g1106",8.74348175248186,4.93505214965747,1.7234751468557,2.86343099212132,0.00419080089542921,0.0183544199268101
"g112",670.639884223199,1.3107748837015,0.478906588277205,2.73701576839194,0.00619993211570562,0.0256231569469396
"g1127",71.0910398532532,-4.61599894049847,1.42440907717604,-3.24064133995124,0.00119261132796842,0.00633001397152469
"g1129",314.961256446286,1.91554568204098,0.586588435120161,3.26557014655188,0.00109243944160891,0.00589694351643992
"g113",2058.52255611493,2.0074063959245,0.807976117277844,2.48448729238145,0.0129738138556452,0.0469881804062117
