"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1036",190.486158062554,-3.0962395669737,0.997706284479964,-3.10335778689372,0.00191338168856081,0.0274812073291096
"g114",128.708653974947,-1.67941959728919,0.362802235763717,-4.62902218271597,3.67396415485011e-06,0.000165581763806521
"g1156",131.457858190298,-7.27577841274453,1.34189457454499,-5.42201939762042,5.89294856589454e-08,4.53063751507303e-06
"g1186",8784.06104020642,-3.46508294284061,0.6769825480867,-5.11842284950136,3.08101221644967e-07,1.83040134859078e-05
"g1198",34.2717775967797,2.16238863915744,0.66677639763291,3.2430491643586,0.00118257802849507,0.0188491400395494
"g1213",4164.05363017639,-1.73993026926163,0.578422100733103,-3.00806325874549,0.00262918403977551,0.0347105408079453
"g1296",4422.95037084525,-2.34396275201448,0.564992305261521,-4.14866314140246,3.34422482524805e-05,0.00100752471747913
"g1297",287.171957112594,-3.18012225186429,0.547576399325716,-5.80763205970945,6.33625705640877e-09,7.52862542975114e-07
"g1304",555.896387762842,-2.65661582408873,0.443009305259063,-5.99674948709079,2.01306238771909e-09,2.63107254074885e-07
"g1321",35.9786021407077,-4.59044946368411,1.44579667577842,-3.17503113721893,0.0014982042376576,0.0230345724473849
"g1326",117.066646494384,-1.68842947433299,0.459780420638334,-3.6722517935602,0.000240422621031158,0.00498781532837656
"g1402",264.977357873971,0.723583334475814,0.247143658354596,2.92778434734357,0.00341386740004834,0.0433196572025551
"g1410",317.150471143135,-2.35382066985297,0.708145855199866,-3.32392070442696,0.000887614302322117,0.014684960672595
"g143",54.7056562984723,-2.2287325319645,0.775571651962199,-2.87366425310389,0.00405740037554115,0.0491020582484471
"g1461",86.0576570485028,3.81334850646071,0.452905292053704,8.41974817553806,3.77294412741692e-17,2.46561898726695e-14
"g147",492.952994562061,2.65810566828609,0.381285946712063,6.97142313061283,3.13750739882048e-12,6.02843059844532e-10
"g1480",207.351701984714,1.39117056332269,0.315005918659072,4.41633150654652,1.00390086256126e-05,0.000385911302166931
"g1492",39.1616453066433,-2.61651662335829,0.649273848286174,-4.02991223235751,5.57976826608081e-05,0.00148831778036074
"g1503",577.379554638599,-1.68323763856404,0.459231311648698,-3.66533726221979,0.000247012844726088,0.00504446543839058
"g1538",53.3711949683059,6.72709502407649,1.78756473438616,3.76327351657367,0.000167703607720845,0.00365314358818575
"g1543",562.023132103366,2.07669908353558,0.427633501700099,4.85625909868954,1.19624155538161e-06,5.79069523290285e-05
"g1623",91.9267612708288,-4.36452875398302,0.831266082898224,-5.25045932196105,1.51720407778409e-07,1.04367669982305e-05
"g1626",115.644047480445,2.17928437515211,0.51392251987568,4.24049207977749,2.23030305075662e-05,0.000747437458292026
"g1687",8005.9253117096,-3.29098237138435,1.04981138386333,-3.13483204885192,0.00171952527491043,0.0252519048798644
"g1828",568.960017176906,-1.77021061344334,0.558132467817576,-3.17166750819077,0.00151566429263588,0.0230345724473849
"g1881",46.7908512799441,-2.78136839860347,0.883711605745995,-3.14737113388427,0.00164745706889067,0.0244684816936375
"g1882",978.157652803469,-0.713054810333103,0.213171036906597,-3.3449891724528,0.000822857826609839,0.0141953667036585
"g1950",37.7255708035581,-6.97336224269849,1.72076005461768,-4.05248961003331,5.06754751845507e-05,0.00138881437537886
"g1958",428.71585287245,-2.26099519940409,0.625652894568968,-3.61381721243656,0.000301721810813027,0.00588413401226451
"g1962",667.327868114218,1.62908148547304,0.396317859635349,4.11054270168887,3.94730270655576e-05,0.00114647214165964
"g198",94.542748686488,-5.69373827978275,1.02872879132719,-5.5347321157767,3.1170438773248e-08,2.71598423177567e-06
"g2234",29.3165713859293,6.30327774202371,1.26495037574768,4.9830237318978,6.25982696181393e-07,3.4089974329545e-05
"g2245",78.2975709307946,2.21140969615279,0.751392533627359,2.94308180769002,0.00324962533605051,0.0416398070021374
"g2298",112.911564592321,-1.72537693935611,0.518910137869125,-3.32500140860857,0.000884180883156229,0.014684960672595
"g231",937.004139290063,-1.71463059256767,0.521331138629851,-3.28894720747742,0.00100562884251249,0.0164294612145478
"g2314",659.81869322962,1.64869872318926,0.452483230031579,3.64366812682582,0.000268779943112431,0.00532265735830223
"g2323",429.827286107523,0.839246339649055,0.241892572592342,3.46950024407497,0.000521427593860499,0.00957235092804572
"g2339",430.383226014248,2.84249700198093,0.342591377437904,8.29704770516631,1.06730528037895e-16,4.64989333818429e-14
"g2343",327.478001019724,-6.52875155772419,1.42794902366907,-4.57211808650479,4.8281869755157e-06,0.000197201261781219
"g2377",42.9040541605028,-2.54789270635691,0.553282669639755,-4.60504701514663,4.12372685449341e-06,0.000179657033294096
"g2381",312.337009203043,-1.44318230896311,0.285478849512169,-5.0553037867052,4.2970621656945e-07,2.44185228285335e-05
"g2395",1488.43116289867,-1.11901973806402,0.385645372244587,-2.90168071135133,0.00371166631592022,0.0466456526433436
"g2397",69.1439918345205,1.20253475802698,0.394435170514218,3.04875134856574,0.00229794592914627,0.0316148982041492
"g2401",367.190515005017,5.88526778721858,1.4528027948069,4.05097499003697,5.10046595395451e-05,0.00138881437537886
"g242",110.587781782132,-5.34039184060821,1.41313023878109,-3.77912218849314,0.000157382187341484,0.00348641557381898
"g2424",444.882263227815,1.4276187945959,0.196610145928064,7.26116542896133,3.83769239589121e-13,1.00317279228596e-10
"g2442",64.7653818630545,4.79878598524473,1.13078594164953,4.24376162498492,2.19803839243773e-05,0.000747437458292026
"g2444",147.988166532176,4.28677760483308,0.818245455505582,5.23898736740841,1.61460089064682e-07,1.0551416820377e-05
"g246",184.704989507069,2.11544896781016,0.571871926093652,3.69916561958266,0.000216309418871888,0.0045599421042832
"g2467",676.919792901323,2.53373389374285,0.515729981030886,4.91290789160289,8.97354398925888e-07,4.69136879758454e-05
"g2474",199.005072975074,-2.9307719719011,0.821164731445976,-3.5690426776371,0.000358288062548689,0.0067867028659585
"g252",35.3145509240051,2.70699739498114,0.714732429839938,3.78742768897077,0.000152214963532941,0.00343008547133714
"g2541",736.70838627384,1.55347924396375,0.393934183175217,3.94349947354729,8.03011677686492e-05,0.00198025709950235
"g2556",100.048074825926,3.6611321304876,1.0561527677599,3.46647970089862,0.000527321550741616,0.00957235092804572
"g2572",175.498774912315,-2.17401965623959,0.517533147598765,-4.20073509557125,2.66049740992684e-05,0.000869317528693596
"g2632",811.237848165889,-0.735903529005816,0.244421971574563,-3.01079123233127,0.00260567936545269,0.0347105408079453
"g2637",214.522538857459,3.0862905477348,0.744504975454955,4.14542635641732,3.39182001293664e-05,0.00100752471747913
"g2640",24.740371444343,-8.92522047431223,2.30132880607424,-3.87828999087595,0.000105193279680023,0.00248550907954616
"g2641",37.4002206137809,-2.71151916867897,0.654080402440008,-4.14554412357228,3.39007708866725e-05,0.00100752471747913
"g2647",32742.509075708,-2.49431651984536,0.474836675145653,-5.25299887393964,1.49642451674872e-07,1.04367669982305e-05
"g2655",194.428652608906,-1.73483226452227,0.565338818247845,-3.06865937474281,0.00215021602503729,0.029897152603444
"g2665",14318.0135379346,-2.93649340038327,0.379738968693326,-7.73292614789492,1.0510227574725e-14,3.43421686004141e-12
"g2688",221.784964345194,4.11151819698151,1.02720677097642,4.00261983580315,6.26449194235081e-05,0.0016375381937305
"g2689",115.583019126805,4.27014269311404,1.41496052921332,3.01785286935751,0.00254572468731742,0.0343016718177719
"g2694",206.740320905625,-5.36559211768909,0.770100466681852,-6.96739237259254,3.22869274591563e-12,6.02843059844532e-10
"g2730",57.583204426049,-4.732023069602,1.48668483547147,-3.18293625972269,0.0014578970451943,0.0227240257703638
"g2733",965.873873109257,-1.60743055533252,0.454390963741139,-3.53754956326167,0.000403858380158239,0.00754061289809741
"g2742",110.620783960064,1.40420173817263,0.313603300631547,4.47763698706229,7.54737973100044e-06,0.000298921979042957
"g2767",484.062192541911,1.23909311274438,0.397415392431564,3.11787901611725,0.00182157562060835,0.0264533259570569
"g2812",5316.25337204139,-1.60614096761556,0.180712419107997,-8.88782838248491,6.23148319554352e-19,8.14454853657538e-16
"g2813",3388.14066493625,-1.55242669704446,0.279866512655682,-5.54702555269413,2.90570290302284e-08,2.71268121017918e-06
"g2834",128.662521456684,-1.95495330449576,0.447272339416484,-4.37083434903713,1.23772668809394e-05,0.000462202508953938
"g287",119.521843145756,1.99143034657125,0.69234365031631,2.87636110428892,0.00402289200077281,0.0491020582484471
"g2876",899.651618841166,1.72045834369735,0.471188139323161,3.65131929290222,0.000260896641353735,0.00524602938845125
"g2899",277.055039687393,-1.61425304572628,0.484846239981732,-3.32941232211494,0.000870294605411712,0.014684960672595
"g304",564.338486947228,-2.40090113576755,0.516662597380813,-4.64694202355418,3.36891798152594e-06,0.000157256278637657
"g347",184.262909840802,-1.80664868456136,0.500449656809013,-3.61005080127536,0.000306137041188972,0.00588413401226451
"g378",207.244275183395,-2.75418523397177,0.896346615686737,-3.07267878940074,0.00212146706542759,0.0298145962850953
"g436",305.751186857923,-1.85873291842517,0.489541801093154,-3.79688295110773,0.000146526932151436,0.00335983684775311
"g443",43.4351458438979,-2.54759427718768,0.655239099243115,-3.88803763409492,0.000101057960142764,0.00244597692419616
"g448",58.4792908783649,-2.96535271071358,0.745775530914612,-3.9762000599254,7.00252218365809e-05,0.00176005701808483
"g457",108.583992839919,2.08929929982657,0.499383302179357,4.1837588295577,2.8672829232466e-05,0.000914033848947149
"g477",39.990931337651,1.35207304727423,0.456151308964195,2.96408893431534,0.0030358053639625,0.0393304582999992
"g538",435.892171072561,2.15431046929064,0.38651743063722,5.57364377005973,2.49465593061238e-08,2.50808869331568e-06
"g559",730.849037253227,3.1684840416403,0.575640074917186,5.50427980903889,3.70680424319685e-08,3.02799571616143e-06
"g561",311.731082700694,-1.95232951801167,0.488569958009419,-3.99600811717128,6.44195259471303e-05,0.00165090824339018
"g563",39.0471773960322,-7.50309752042433,2.37267416219763,-3.16229579264048,0.00156530477874365,0.0235155556990569
"g565",120.203017239573,3.13197935945377,0.54403462729667,5.75694855126539,8.56479998352535e-09,9.32849464872303e-07
"g566",1485.83345187279,-1.36007281184444,0.472987737979339,-2.87549275094285,0.00403397408467956,0.0491020582484471
"g570",150.575543911172,-0.991796513336984,0.328311156497584,-3.02090408354515,0.00252021180563657,0.0343016718177719
"g575",757.774087952313,-0.849821980956028,0.274824380500485,-3.09223650175581,0.00198654510385547,0.0282218962036858
"g611",121.732208725347,2.35129234276364,0.358062575352396,6.566707901404,5.14398108326914e-11,8.40397909479096e-09
"g613",3249.65162325915,1.83251140570066,0.53202664014777,3.44439783164181,0.000572332893659013,0.010247110849484
"g638",47.7772324261457,2.53639894432658,0.676182653578132,3.75105591796063,0.000176091418609371,0.00377297514954833
"g679",35.7316648990929,-4.56892186909839,1.43567166595241,-3.1824281118395,0.00146045766236462,0.0227240257703638
"g686",37.0421063143172,-2.47863186936314,0.836320616362305,-2.96373402839727,0.00303930856029068,0.0393304582999992
"g687",24.5825402395855,6.05474789462434,1.48110892619762,4.08798285360984,4.35140306292315e-05,0.00123636604418273
"g689",52.2738590725124,-6.88144517125196,1.77572063603315,-3.87529717885393,0.000106494650692108,0.00248550907954616
"g731",750.881635494208,1.19033955020923,0.365894503987219,3.25323156603306,0.00114100472691684,0.0184110268898803
"g732",164.62472713478,1.20885783965523,0.417753645295642,2.89370985332691,0.00380719787708126,0.0473905488128116
"g765",543.174298614413,1.33048159843967,0.311643558836072,4.26924144817483,1.9613886112024e-05,0.000692847274281497
"g768",271.458784858541,-2.1087336691675,0.485729727775303,-4.34137247235358,1.41595453468371e-05,0.000514070160231004
"g840",65.9688464264918,2.63765315111185,0.505611455946738,5.2167590747582,1.82080840610794e-07,1.1332364698967e-05
"g900",1004.69010630307,-4.63393298077219,0.733672879015127,-6.31607507012216,2.68289761311265e-10,3.89616353370916e-08
"g901",625.361148038414,-3.63201419813033,0.742273788309244,-4.89309235397272,9.92637966341715e-07,4.98991470003316e-05
"g907",89.8726197276098,-2.65131694207019,0.579117842055947,-4.57819937416822,4.68995577142597e-06,0.000197201261781219
"g927",70.354292673003,1.30377586655616,0.382832644533275,3.40560264432423,0.000660181908276763,0.0116602399205098
"g95",89.8383468005438,-4.37203601032633,1.30737986609988,-3.34412065207092,0.000825438308705469,0.0141953667036585
