"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1010",92.4785795506085,-1.86304042822202,0.589769325720716,-3.1589306987869,0.00158349139543836,0.0241401647427031
"g1036",190.486158062554,-3.00287329644931,0.997310299674898,-3.01097190857066,0.00260412943286275,0.0344298174574951
"g114",128.708653974947,-1.71304517611527,0.361773839684148,-4.73512727623111,2.18917673798342e-06,0.000102207188954601
"g1156",131.457858190298,-7.47351081239781,1.34077986302347,-5.57400287586732,2.48951621304588e-08,2.18784542487679e-06
"g1186",8784.06104020642,-3.5285909086581,0.676858017748227,-5.21319215571536,1.85618445695769e-07,1.3539267491724e-05
"g1213",4164.05363017639,-1.93007437433655,0.578291979388086,-3.33754304595204,0.00084522628290512,0.0145145754788534
"g1290",675.985371352332,5.2740749743554,1.57081265713272,3.35754550385558,0.000786377986533795,0.0136610315335057
"g1296",4422.95037084525,-2.3062567742882,0.564570935791445,-4.08497254832145,4.40820279098976e-05,0.00137205311869556
"g1297",287.171957112594,-3.42272433104372,0.547215841242751,-6.25479760101711,3.9803177134146e-10,5.40599514894673e-08
"g1301",40.8012348598053,-2.03030806264866,0.619919132557655,-3.27511760166529,0.00105617996176372,0.016967020030914
"g1304",555.896387762842,-2.90037448884217,0.442713875597128,-6.55135212315217,5.701843279547e-11,1.0648192324554e-08
"g1321",35.9786021407077,-4.48262859928026,1.44519816487605,-3.10173975322251,0.00192387011138606,0.0279054557903959
"g1326",117.066646494384,-1.51267958528451,0.458402534961036,-3.29989358678632,0.000967214957337307,0.0162361701827184
"g1351",40.5381018894457,2.14908858914793,0.704379231428218,3.05103911821815,0.00228050861046163,0.0312576134314649
"g1355",261.125372117055,-0.751114053658093,0.258768335204704,-2.90265056218687,0.0037001924889201,0.0456866742020382
"g1410",317.150471143135,-2.49957635635678,0.707878066580619,-3.53108321102658,0.000413861529099134,0.0081356463746593
"g143",54.7056562984723,-2.57364561571226,0.772615658738849,-3.33108135539636,0.000865093154129208,0.0146869224121481
"g1461",86.0576570485028,3.77991368754982,0.443312618369564,8.52651950547169,1.50816756152288e-17,7.51067445638394e-15
"g147",492.952994562061,2.90855264360326,0.38067829629272,7.64044777947295,2.16467579710857e-14,6.46805128176042e-12
"g1474",25.3194345456942,5.95441091111715,1.71803632500937,3.46582364088528,0.000528609894403828,0.00999674914226985
"g1480",207.351701984714,1.56957774845041,0.308314714892153,5.09082983275529,3.56499858276925e-07,2.27954440277336e-05
"g1491",104.813921572397,1.82179378560371,0.535354031240752,3.40297014553429,0.000666575636597347,0.0119983614587523
"g1492",39.1616453066433,-2.42874584132508,0.644769732987855,-3.76684220282845,0.000165325421496108,0.00379994122638747
"g1503",577.379554638599,-1.78664654229476,0.458935588882867,-3.89302243184884,9.90029938915687e-05,0.00264125844417864
"g1538",53.3711949683059,6.02732716398966,1.74888725927591,3.44637833686612,0.000568154327542486,0.0103514946993716
"g1543",562.023132103366,2.06791640388689,0.426634483061647,4.84704468576228,1.25314209233368e-06,6.68640816409473e-05
"g1623",91.9267612708288,-4.69258505155172,0.829244515669245,-5.65886775598938,1.52374908427851e-08,1.5176540879414e-06
"g1626",115.644047480445,2.28442160609988,0.511344854773985,4.46747744652597,7.9147352597113e-06,0.000295615361950217
"g1687",8005.9253117096,-3.52842183988485,1.04964120867123,-3.36155041430926,0.000775062064337914,0.0136228555778923
"g1828",568.960017176906,-1.99400341434638,0.557714511333158,-3.57531205272018,0.000349810403940085,0.00706238842549307
"g1881",46.7908512799441,-2.69434693283038,0.881803145267033,-3.05549707697454,0.00224687792986877,0.0312576134314649
"g1882",978.157652803469,-0.614162385268815,0.21273655017067,-2.88696222993227,0.00388980922160975,0.0476342211236473
"g1950",37.7255708035581,-7.08330613092811,1.72010818327819,-4.11794223165005,3.82270485174633e-05,0.00121513213798064
"g1958",428.71585287245,-2.31915614408375,0.625464029503335,-3.7078969128334,0.000208987694310195,0.00459158257793282
"g1962",667.327868114218,1.47500042677428,0.393764660539803,3.74589335861739,0.000179752943933501,0.00406895300358561
"g198",94.542748686488,-6.07164549643136,1.02809726951931,-5.90571113885964,3.51128755444921e-09,3.74704543310509e-07
"g2008",26.0354436155984,3.60919773622986,1.22770639301962,2.93978898924913,0.00328435833275082,0.0419387294797413
"g2234",29.3165713859293,5.75729357207979,1.17188983630431,4.91282831689717,8.97718808697808e-07,5.15843038536356e-05
"g2298",112.911564592321,-1.70583449546446,0.517441537396093,-3.29667097088626,0.000978380456885648,0.0162411155843018
"g231",937.004139290063,-1.79616004089322,0.521096214705403,-3.44688752327372,0.000567084621739431,0.0103514946993716
"g2312",50.2261708417997,-4.84582332362748,1.63590768805939,-2.96216183773542,0.00305487168745767,0.0396867678353196
"g2314",659.81869322962,1.44422213114115,0.449812917425613,3.21071733423481,0.00132404104277365,0.0203929620402458
"g2323",429.827286107523,0.839561314478264,0.239242089137021,3.50925423493281,0.000449365140811006,0.00860707077399542
"g2339",430.383226014248,2.93446470184429,0.334349773943204,8.77663133202168,1.6844404104337e-18,1.25827698659397e-15
"g2343",327.478001019724,-6.74614890661641,1.42784050948838,-4.72472160706076,2.30430810330813e-06,0.0001026063970014
"g2377",42.9040541605028,-2.73517148822868,0.545765181554474,-5.0116269426317,5.39717607527655e-07,3.22535242258527e-05
"g2381",312.337009203043,-1.53722178409165,0.283756364369908,-5.41740019648585,6.0471884762392e-08,5.01916643527854e-06
"g2401",367.190515005017,5.51403689521717,1.44976895340854,3.80339010726722,0.000142729324364231,0.00333183766562751
"g2412",34.2607781754743,5.75953768123502,1.7664114706689,3.26058666220845,0.00111181985402748,0.0174848301254426
"g242",110.587781782132,-5.48728102837372,1.41283457312682,-3.88388076901992,0.000102802334266337,0.00267857248913277
"g2424",444.882263227815,1.3260539708732,0.193616911175616,6.84885407385944,7.44438851076926e-12,1.58884520501275e-09
"g2442",64.7653818630545,4.3725381392398,1.11965104435358,3.90526866499219,9.41207590976065e-05,0.00260400766836711
"g2444",147.988166532176,4.53468772996227,0.813429369313329,5.57477748042255,2.478464620019e-08,2.18784542487679e-06
"g246",184.704989507069,1.78237801789751,0.568700233244043,3.13412570227071,0.00172366999785467,0.0254966631365829
"g2460",32.8822535286818,2.04750525484264,0.677923775061604,3.02025881103902,0.002525587702219,0.0336895359563856
"g2467",676.919792901323,2.47740125908378,0.515224803021293,4.80838896838085,1.52151497613589e-06,7.83842542878284e-05
"g2474",199.005072975074,-3.01143972423035,0.819801068423591,-3.67337862833126,0.000239364397683272,0.00518275956722911
"g2476",17.3924169882857,3.6528510861689,0.949306930577675,3.8479136394233,0.000119128029886863,0.00296748803304707
"g2486",29.9414551944189,4.55399921970815,1.48452171248945,3.06765416860853,0.00215746140429554,0.0306975936954051
"g2505",767.176719928536,2.16349818199446,0.711314439614995,3.04154964598424,0.00235363748285338,0.0319666763580268
"g2507",218.698933215142,3.82998914853692,1.0284428049246,3.72406625842232,0.000196039438639076,0.00437138688547432
"g252",35.3145509240051,3.23210356799641,0.713229823009573,4.53164388774167,5.85264517859539e-06,0.000230101365705829
"g2541",736.70838627384,1.65948037928826,0.392347789678131,4.22961572091344,2.3409083872802e-05,0.000777181584577025
"g2556",100.048074825926,4.09558682466417,1.05526593540448,3.88109450637609,0.000103987419256828,0.00267857248913277
"g2572",175.498774912315,-2.27704428438446,0.515460264366283,-4.41749721908032,9.98503548503311e-06,0.000363844951576572
"g2632",811.237848165889,-0.926303114836288,0.24338560011,-3.80590763963702,0.000141285103238013,0.00333183766562751
"g2637",214.522538857459,3.62581293329971,0.744370446910844,4.87097915876017,1.11046554146055e-06,6.14457599608173e-05
"g2640",24.740371444343,-8.95551248417081,2.30039329317915,-3.89303538256899,9.89977067471835e-05,0.00264125844417864
"g2641",37.4002206137809,-2.71537311521439,0.650733612726524,-4.17278754640809,3.00895491566235e-05,0.000977256226956424
"g2643",304.264075129633,-1.73402198279543,0.582979049860769,-2.97441560414489,0.0029354719288483,0.0384701321201698
"g2647",32742.509075708,-2.40158597864393,0.472219403214203,-5.08574184435735,3.66191871931463e-07,2.27954440277336e-05
"g2655",194.428652608906,-1.77440153978949,0.562837834586267,-3.15259819214858,0.0016182438577987,0.0244207709449623
"g2665",14318.0135379346,-3.20575545612209,0.378936628527633,-8.45987221815461,2.67670659779769e-17,9.99749914277437e-15
"g2688",221.784964345194,4.12486811438661,1.02545655789593,4.02246987707618,5.75910215675013e-05,0.00172081972443694
"g2694",206.740320905625,-5.70407795875382,0.769629932978276,-7.41145544675019,1.24920766832377e-13,3.11052709412618e-11
"g2730",57.583204426049,-4.89041379410311,1.48605789199349,-3.29086357971074,0.00099880337651289,0.01639793675286
"g2731",215.846861237569,3.37518721774476,0.959706584498827,3.51689492628347,0.000436626587352648,0.00847168988967346
"g2733",965.873873109257,-1.65843205384781,0.45418935808595,-3.65141107849113,0.000260803400555726,0.00548789127366556
"g2742",110.620783960064,1.2139502821285,0.306894107724736,3.95559983581483,7.63428578606068e-05,0.00215200433290088
"g2753",1160.18318147744,-0.58765773585539,0.180546192943852,-3.25488854831818,0.00113436872512128,0.0176536132847
"g278",70.7254446181719,-2.12984460446229,0.697797344363233,-3.05223948137242,0.00227140803765855,0.0312576134314649
"g2812",5316.25337204139,-1.7490757123896,0.180428418672132,-9.6940145308703,3.19709058832846e-22,4.77645333896271e-19
"g2813",3388.14066493625,-1.68368425051034,0.279545808512725,-6.02292790390274,1.71289756144549e-09,2.13255746399964e-07
"g2834",128.662521456684,-1.92897972466733,0.442681837239211,-4.35748558535275,1.3156516045363e-05,0.000457112441204006
"g2840",101.303461300606,-2.29931573289027,0.78949581774091,-2.91238494393752,0.00358680310828529,0.0450309566704053
"g2861",41.0851632383899,4.63003782388038,1.34044208971402,3.45411253452074,0.000552106939942132,0.0103105971034193
"g2876",899.651618841166,1.68682713073296,0.460291492584751,3.66469326048292,0.000247635191300603,0.00528524251147287
"g2899",277.055039687393,-1.75250058670928,0.483696093042833,-3.62314397803931,0.000291043708433792,0.00603915695000118
"g304",564.338486947228,-2.42589920024137,0.516479628664472,-4.69698912716913,2.64024500136574e-06,0.000112700743772583
"g347",184.262909840802,-1.52450440671959,0.498117559401639,-3.06053135037218,0.00220944628428117,0.0311406863086421
"g378",207.244275183395,-2.92499901441792,0.895824472463677,-3.26514747512273,0.00109407097409966,0.0173887450564351
"g436",305.751186857923,-1.87231776361199,0.48898029189049,-3.82902500297763,0.000128651937324508,0.00315091794037403
"g448",58.4792908783649,-3.35875182716404,0.740569071901025,-4.53536605105881,5.75036643413787e-06,0.000230101365705829
"g457",108.583992839919,2.21544566353565,0.494043740307608,4.48431076599865,7.31499892580868e-06,0.000280220728080979
"g533",83.1971067418304,1.50372613264613,0.510804403501835,2.94383940768187,0.00324168159612881,0.041750623315659
"g538",435.892171072561,1.77372429431844,0.379965118717622,4.66812401176387,3.03962419695856e-06,0.00012614440417378
"g559",730.849037253227,3.10430907436801,0.574607085716493,5.40249006936133,6.57220970665505e-08,5.16783226407507e-06
"g561",311.731082700694,-2.11629515929565,0.488072608608324,-4.3360252592949,1.45082279346361e-05,0.000492620284871508
"g563",39.0471773960322,-7.78509072504109,2.3720937892513,-3.28194895173108,0.00103092266788929,0.0167412876720282
"g565",120.203017239573,3.22000826555094,0.540899931864184,5.95305725858266,2.63179168627046e-09,3.02453598406774e-07
"g570",150.575543911172,-1.10198113200837,0.326308968420136,-3.37710954542177,0.000732518705399053,0.0130283684031689
"g575",757.774087952313,-1.09279334067907,0.273804175401343,-3.99114929155939,6.57538701828745e-05,0.00192620160888656
"g611",121.732208725347,2.24397764060389,0.353985463854892,6.33918019165825,2.30990957289378e-10,3.45100490190331e-08
"g613",3249.65162325915,2.15812794956947,0.53199646310245,4.05665845405041,4.97797945827391e-05,0.00151777577768596
"g638",47.7772324261457,2.95684058424524,0.674234604307687,4.3854773477273,1.15731701981102e-05,0.000411674197047064
"g682",1443.4999538568,-1.31328678204965,0.432475043116457,-3.03667645787367,0.0023920205487696,0.0321953036023584
"g686",37.0421063143172,-2.59164999522803,0.834420194178089,-3.10592913895238,0.00189682164724664,0.0277828582449654
"g687",24.5825402395855,5.64527021109818,1.42135039922126,3.9717653114891,7.13419865413559e-05,0.00204971015178434
"g689",52.2738590725124,-6.81584919828412,1.77135596501478,-3.84781451774842,0.00011917622622679,0.00296748803304707
"g731",750.881635494208,1.06426798106197,0.36534774692543,2.91302735549426,0.00357943243268355,0.0450309566704053
"g750",576.375139284274,-0.533120728467689,0.173137735364432,-3.07917120057935,0.00207577359158499,0.0298192860175767
"g765",543.174298614413,1.10155026302613,0.310150901631182,3.55165907057734,0.000382810521806526,0.00762558559438601
"g768",271.458784858541,-2.32095036196212,0.485259430891266,-4.78290624398434,1.7277872654379e-06,8.32681991794912e-05
"g805",132.78131376523,1.60773904986233,0.552685836004437,2.90895649051774,0.00362637324994014,0.0451483469617548
"g840",65.9688464264918,2.58176224454777,0.499105714670517,5.17277636512759,2.30640999055584e-07,1.56626205722292e-05
"g865",22.128265746469,3.87826458505135,1.23457748833956,3.14136991941057,0.00168159489770732,0.0251230277717473
"g900",1004.69010630307,-4.70470208824312,0.731821124135859,-6.42875961499263,1.28649383958696e-10,2.13557977371435e-08
"g901",625.361148038414,-3.85338543995656,0.739817693515945,-5.20856080319402,1.90310988839494e-07,1.3539267491724e-05
"g906",317.827205431011,0.948524835234821,0.24905142998055,3.80855004650605,0.000139784057062565,0.00333183766562751
"g907",89.8726197276098,-2.72659615394749,0.57742100839378,-4.72202450952054,2.33508534005863e-06,0.0001026063970014
"g927",70.354292673003,1.83153612710082,0.381544683980407,4.80031881978698,1.58413235466571e-06,7.88897912623524e-05
"g95",89.8383468005438,-4.67536530443465,1.30685832083832,-3.57756095659667,0.000346815355794857,0.00706238842549307
