"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1031",323.039702546053,1.93716473517225,0.358356652956802,5.4056893298581,6.45596141288378e-08,4.37068587652232e-05
"g114",128.708653974947,6.36012644536114,1.54544868612231,4.11539153805188,3.86522723645713e-05,0.00523351767816295
"g1273",373.87256224694,1.08333705724727,0.326354149912656,3.31951365575467,0.000901743942963579,0.0469600499527956
"g1307",271.206484621625,-1.99161726511633,0.575769328442289,-3.45905411548152,0.000542075980679868,0.0319117772974149
"g1456",3099.73055550649,-0.990025954093017,0.22571187790229,-4.38623772614039,1.15328074444817e-05,0.00195192765997853
"g1493",37.9166649768436,-2.58881305423564,0.754939869542459,-3.42916457148385,0.000605442290981435,0.0327907544795545
"g1544",63.907655638832,3.21718333086888,0.706955179615906,4.55075996842799,5.3452498804839e-06,0.00144749366763504
"g1551",444.795006315062,-4.43137987030187,0.906842285211732,-4.88660480721543,1.02589726104337e-06,0.000463021630484242
"g1847",4689.82742421096,-1.68323942682491,0.375519036985276,-4.48243434031524,7.37963521577845e-06,0.00166533768036067
"g1951",1956.12001860218,-2.28567023138009,0.664562090693734,-3.43936294800398,0.000583084933500814,0.0327907544795545
"g2007",1031.86807615888,6.52058801045107,1.98813017317317,3.27975909145016,0.00103895762824264,0.049010674334746
"g2318",565.738931316782,-1.8883125983401,0.337986462958042,-5.58694742331888,2.31095650801102e-08,3.12903511184693e-05
"g2335",1048.35826053636,3.75901216535018,0.864183288205608,4.34978576495664,1.36270597122963e-05,0.00205011542782769
"g2377",42.9040541605028,2.88255161221675,0.7677529688313,3.75453007574124,0.000173666992229968,0.0167960791056698
"g2379",648.972149778254,-1.79024296570274,0.404390452151755,-4.42701591043232,9.5545687404407e-06,0.00184812658207953
"g2384",166.975180529034,-2.55821628542175,0.686903831833066,-3.72427138540618,0.000195880124740219,0.0176814459265505
"g2445",7378.51109867945,-3.0110916615524,0.832289284292299,-3.6178426400296,0.000297068913096905,0.0201115654166605
"g266",791.667055993811,-1.48640838749064,0.3789511591179,-3.9224273411661,8.7661333380098e-05,0.00974113397604796
"g2665",14318.0135379346,-1.6331124347102,0.446988463676256,-3.65358967271475,0.000258599416433449,0.0194524227694939
"g2694",206.740320905625,-3.62743248621017,0.989665033811688,-3.66531337602091,0.000247035901507222,0.0194524227694939
"g2723",88.9379081156358,7.41446097698495,2.2433374012527,3.30510291177985,0.000949415320191724,0.0476114201310961
"g2784",153.688750119353,1.35639048431567,0.369556485751258,3.6703197930847,0.000242247205295685,0.0194524227694939
"g347",184.262909840802,-2.3021395823808,0.568072858282072,-4.05254281879049,5.06639475969363e-05,0.00623627136784107
"g600",38.0463071385258,5.18921513566523,1.48557407311234,3.49307061127797,0.000477500228499175,0.0293879686085401
"g603",22.9914669932765,6.73209043589382,2.05443799642223,3.27685257360779,0.00104971163641627,0.049010674334746
"g667",57.7024206273521,-2.25732386098235,0.630102332251239,-3.58247183900645,0.000340358317537592,0.0219450077117095
"g87",66.6495569257743,-2.41586186458698,0.618373526539479,-3.90680027669771,9.35263971112433e-05,0.00974113397604796
"g906",317.827205431011,-1.38258543522915,0.28969428475125,-4.77256717859079,1.81892408197947e-06,0.00061570580175005
"g931",65.461126727776,3.19884608662877,0.880348234686642,3.63361447276303,0.000279478366413074,0.019916510953858
