"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1000",28.1152764782745,5.23251199970812,1.79066589504693,2.92210401403272,0.00347675410455412,0.012835076004642
"g1015",722.230451736341,-1.89206644861885,0.38210294026652,-4.95171915531222,7.35607147039662e-07,8.52742043065086e-06
"g1017",13.5691027549534,7.52267026928457,2.74654394600561,2.73895863935658,0.00616341267497142,0.0205071500337257
"g1018",707.809639461029,-1.1500301592915,0.369180894306282,-3.115085794059,0.00183891415172573,0.00758916951505856
"g1021",185.003858212668,11.0297887429727,1.88447048027228,5.85299099054026,4.82810289962348e-09,1.02176131131567e-07
"g1026",738.335647971523,-2.12246259595351,0.393026880411845,-5.40029881347917,6.65299855285555e-08,1.07154489966346e-06
"g1027",108.118845713366,-1.86561995231523,0.497193866525254,-3.75229880721078,0.000175220440154762,0.00107374141778339
"g1028",430.308731469523,-1.6393771699029,0.613517883397559,-2.67209353511312,0.00753796339220433,0.0241533334045984
"g1031",323.039702546053,1.73506143965761,0.294423519163367,5.89308029666908,3.79062090484523e-09,8.4133293253882e-08
"g1035",99.4141331959987,9.11725508234133,2.35140539978405,3.87736418534151,0.000105594237875671,0.000688822627002582
"g1036",190.486158062554,3.40878709377232,1.0095083575424,3.37668040913582,0.00073366241090475,0.00357022884450975
"g105",59.5222939560848,2.87796811725064,0.747662207116908,3.84928927777225,0.00011846104220487,0.000761834264356409
"g1058",15.2910861323211,7.46862153397945,3.00017021551814,2.48939926653115,0.0127959174074518,0.0372021879897161
"g106",347.802081881063,-2.29453098202487,0.707407090362261,-3.2435792816974,0.00118037955432611,0.00527835574661797
"g1061",599.066300854915,3.79111351789542,0.668868399027122,5.66795130912096,1.44515017018545e-08,2.68385031605869e-07
"g1069",334.543517558151,-1.3099266831221,0.413427928634574,-3.16845232843456,0.00153252879817097,0.00654467718621726
"g1072",52.5038344149682,4.67011058195095,1.8239550120812,2.56043079517744,0.0104542482594748,0.0316058668309705
"g1075",170.374807572348,1.89492111689213,0.398745996500764,4.75220098388749,2.01214210342263e-06,2.15417566366422e-05
"g108",2140.36852725466,1.71283498060407,0.391873819646009,4.37088392929981,1.23744564103309e-05,0.000105734791862921
"g1092",1434.0759668877,1.57234502041626,0.392952479020998,4.00136175329292,6.29789871613493e-05,0.000440852910129445
"g1093",62.5342662807333,6.25161482493031,1.79642439220404,3.48003225299128,0.000501353423046097,0.0026070377998397
"g1094",285.12103732039,-2.03688334191245,0.810791594496757,-2.51221566150633,0.0119975744662289,0.0355628428803526
"g1095",165.789780656863,-4.1902657335511,0.639495722308503,-6.55245310855989,5.65994945426582e-11,1.77605310461445e-09
"g1104",142.533320482818,8.070533938541,1.93224949951751,4.17675561078228,2.95696423749581e-05,0.000231968746217343
"g1106",8.74348175248186,-3.7980298207216,1.47409274443601,-2.5765202597037,0.00998003567608007,0.0304248993810146
"g111",36.9679853333067,6.29147654241267,1.9308520670764,3.25839387164388,0.00112044776506456,0.00508532402099128
"g112",670.639884223199,-2.21692416565741,0.524669878873301,-4.22536961797412,2.38548909746654e-05,0.0001887647894517
"g1120",23.1632137587405,7.77051087863945,2.50982065335198,3.09604228822549,0.00196122389177928,0.00802118535514224
"g1127",71.0910398532532,3.8871397966709,1.60784531452063,2.41760806314246,0.0156228943364002,0.0438791168090253
"g1129",314.961256446286,-2.15365136602645,0.63898447041884,-3.37042833703733,0.000750514240359266,0.00362317219483784
"g113",2058.52255611493,-2.4655607540179,0.884499880582162,-2.78751960078854,0.00531132411090231,0.0182388865695136
"g114",128.708653974947,10.7199885297977,1.48544960103976,7.21666256619823,5.32789618846479e-13,2.4863515546169e-11
