"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1015",722.230451736341,-1.14905172902113,0.381135686842477,-3.01481012848853,0.00257140174524277,0.0164976187572792
"g1020",528.014828773567,1.8695447854407,0.639453775770543,2.92365899816277,0.00345943497098876,0.020834726099471
"g1021",185.003858212668,5.87486959294791,1.24811300208227,4.70700135576398,2.51387236779338e-06,4.19053545595557e-05
"g1026",738.335647971523,-1.75935388022246,0.392053915293954,-4.48753044311094,7.20535186065018e-06,0.000104282107936697
"g1061",599.066300854915,2.7105637014655,0.659303881273393,4.11125093974916,3.93521216918882e-05,0.000474002652895196
"g1069",334.543517558151,-1.86494893238186,0.409447456129535,-4.55479428303459,5.24368688707524e-06,7.9902066766192e-05
"g108",2140.36852725466,2.57857271590624,0.392040532389833,6.5773115350792,4.79030439138886e-11,2.21947985703445e-09
"g1092",1434.0759668877,1.98783326294215,0.392263840426728,5.06759241631772,4.02878915360353e-07,7.91763089450294e-06
"g1106",8.74348175248186,-5.01199336058268,1.78790712969222,-2.80327388226562,0.00505866906810237,0.0287067937694441
"g112",670.639884223199,-1.36720257330476,0.5237716950063,-2.61030251603863,0.00904621861206614,0.0467847372540928
"g1129",314.961256446286,-1.65506511376622,0.6358471958481,-2.60292901277747,0.00924310898969241,0.0470214836069638
"g1133",268.470996759644,-3.62595648982398,1.00476208308812,-3.60877122142155,0.000307650764836971,0.00270721216937134
"g1134",57.1878202453523,-3.81021442218885,1.20211268988002,-3.16959836982434,0.00152649777109537,0.0104778358038054
"g114",128.708653974947,3.40821490008941,0.384683323764995,8.85979373041787,8.0162623238971e-19,9.97757450581059e-17
"g115",160.069914453863,2.58291765583359,0.529993826962464,4.87348630197635,1.09645873740743e-06,1.91316678760717e-05
"g116",84.0900411513201,-2.01778680423106,0.527871803812757,-3.82249400262871,0.000132108692709845,0.00135520290818286
"g118",156.811971678912,6.49954669172824,1.56424647390995,4.15506558597644,3.25194247690632e-05,0.000399432671341059
"g1181",642.042138379423,-1.39486440146889,0.381918702149716,-3.65225476945114,0.000259947795653877,0.00236742699749165
"g1185",346.777145938835,1.71973008769591,0.39970931173858,4.30245189989633,1.68918349138562e-05,0.000223667062299075
"g1189",21.0436799520491,-3.30292662996479,0.770699543085581,-4.28562162725718,1.82228915346227e-05,0.00023832475705803
"g1193",105.530434509562,3.12205328232653,1.06256240541953,2.93823051371167,0.00330091491370539,0.0203393008049108
"g1199",160.424438115438,-2.72244961733619,0.830995305135687,-3.2761311652557,0.00105239672768445,0.00761559957591807
"g1211",9.17010936760815,-6.48094306425614,2.22591450601242,-2.91158669695105,0.00359598098784461,0.0215182580266214
"g1221",417.182129468533,-3.22637877253163,0.656647493422973,-4.91341062723496,8.95055427848036e-07,1.57647970169083e-05
"g1222",2496.66462446655,-2.11136275929675,0.655762104719572,-3.2197084035523,0.00128321050532409,0.00900659403548898
"g1226",302.44533412926,5.34377725296654,1.56248266149977,3.42005539302257,0.000626083856336178,0.00497403642459423
"g1263",261.143046756303,1.41645726661847,0.543915377892031,2.60418683529046,0.00920925389699381,0.0470214836069638
"g1266",314.828847031158,-1.9319734148256,0.663118068661071,-2.91346821347596,0.00357438224621188,0.0214577866677736
"g1277",112.512713439869,-1.88168111188776,0.466348199270841,-4.03492736721159,5.46191908326612e-05,0.000621792861491333
"g1279",7.14235449323069,-3.1685106634199,1.21665869144174,-2.60427241074916,0.0092069546050409,0.0470214836069638
"g1280",158.696548982426,3.14223145401849,0.878556384624531,3.57658484874751,0.000348112359706976,0.00303016357023306
"g1290",675.985371352332,-12.6390486637041,1.50357964382716,-8.40597218484088,4.24331711857373e-17,4.40126281132064e-15
"g1293",666.570460437832,1.84539294582458,0.543189843747862,3.3973259387397,0.000680478631305188,0.00531570545877316
"g1294",1349.78478739151,-1.32804053322952,0.418732441190357,-3.17157306812487,0.00151615721008481,0.0104452601890345
"g1295",812.279606393192,2.8871168143035,0.624754251074012,4.62120395233849,3.81519474281222e-06,6.19388572593948e-05
"g1296",4422.95037084525,-3.64348233975349,0.558297079459531,-6.52606376390259,6.75205847832243e-11,2.74045503891912e-09
"g1297",287.171957112594,5.04910636711943,0.56455514381464,8.94351317570705,3.7699036354973e-19,5.41416160574882e-17
"g1298",7679.87952597854,-1.4494663688425,0.413525688927896,-3.5051422623837,0.000456363354731362,0.00378680170348201
"g1299",1243.94628695134,1.76379834998195,0.663808827938558,2.65708781767694,0.00788189083431237,0.042044257679032
"g1302",380.044720980118,3.13956227050555,0.339274962262413,9.2537399446448,2.16772037441107e-20,4.04713393902546e-18
"g1304",555.896387762842,2.91462061193513,0.443306315370672,6.57473288982599,4.8740586040928e-11,2.21947985703445e-09
"g1306",1199.59683219021,-1.62039385713732,0.396729750991406,-4.08437696716228,4.41952348969386e-05,0.000515703147203652
"g1320",65.2740745127387,-5.46617456819017,2.09328527006058,-2.61128984490107,0.00902014082938588,0.0467794525790651
"g1321",35.9786021407077,3.98377051847049,1.43573183500117,2.77473161864328,0.00552472784161687,0.0309749756165126
"g1330",862.995799280161,0.938121281026722,0.271968534370311,3.44937433000753,0.000561887199705653,0.00450233219678306
"g1332",170.917671458409,-1.65162844355951,0.564899575793707,-2.9237558573821,0.00345835877276684,0.020834726099471
"g1338",14.7034860606706,-3.22244660619666,0.924250359790149,-3.48655163837677,0.000489290912286966,0.00400660584754283
"g1339",927.821993177067,-1.6209493373383,0.515534014637862,-3.14421413779445,0.00166533528398428,0.011388941301094
"g1340",298.126748753658,1.23816754553957,0.306260535897697,4.04285698093719,5.28038316021321e-05,0.000604814439271047
"g1341",184.363019264166,1.35485276390488,0.309597221480811,4.37617869251082,1.20778011944062e-05,0.000167031517258937
"g1353",2525.26933479681,-0.908560324381684,0.33717979852875,-2.69458706703692,0.00704759111884154,0.0384732532715706
"g1355",261.125372117055,1.89788357549919,0.266896468092737,7.11093552140877,1.15258981617216e-12,6.14824339083835e-11
"g136",506.018246205346,1.09843646333415,0.362660702309231,3.02882682446675,0.00245505368404011,0.0160265217765835
"g1372",42.8661894433206,4.56446590587298,1.55556032217126,2.93429051950995,0.00334311132584627,0.0204642257224753
"g1374",96.5908441398794,-1.90976523277241,0.649842878062239,-2.93881074524834,0.00329474191808118,0.0203393008049108
"g1384",835.960616831496,-2.25644012784752,0.591785960468734,-3.81293284832285,0.000137327433766069,0.00138236062947635
"g1385",28.2558236584743,3.02237453468292,0.897474976144468,3.36764212375811,0.000758139386655976,0.00582529149277482
"g1392",453.534513400162,2.12887336841834,0.419566266499946,5.07398601459924,3.89567700737227e-07,7.73747763060003e-06
"g140",743.557681346357,-1.2317033166383,0.450661469936152,-2.73310100553483,0.00627410885609502,0.0346560983264183
"g1402",264.977357873971,1.33818352533865,0.254363654486303,5.26090697997386,1.43346543757318e-07,3.18604758565373e-06
"g1408",331.822324344343,-4.62661263004648,0.825300233623343,-5.60597518521728,2.07085633014572e-08,5.85801328542737e-07
"g1410",317.150471143135,3.83480934022356,0.71389814429296,5.37164772156892,7.80204155189399e-08,1.93516661576992e-06
