"Comparison","Upregulated","Downregulated"
"LEAF_vs_ROOT",45,63
"LEAF_vs_STEM",53,69
"STEM_vs_ARIL2",285,191
"STEM_vs_ARIL3",438,237
"ARIL2_vs_ARIL3",125,82
"ARIL2_vs_ROOT",189,265
"ARIL2_vs_LEAF",206,243
"ROOT_vs_ARIL3",432,240
"LEAF_vs_ARIL3",428,252
"STEM_vs_ROOT",0,0
"M_ARIL1_vs_ARIL2",0,0
"M_ARIL1_vs_ARIL3",131,78
"M_ARIL2_vs_ARIL3",12,17
"MK_vs_M_ARIL2",4,0
"MK_vs_M_ARIL3",0,0
"LEAF_vs_ARIL1",191,164
"ROOT_vs_ARIL1",184,155
"STEM_vs_ARIL1",202,173
"ARIL2_vs_ARIL1",23,2
"ARIL3_vs_ARIL1",78,137
"MK_vs_M_ARIL1",0,0
