query,seed_ortholog,GOs
g156,EOY20872,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0008152,GO:0009507,GO:0009526,GO:0009528,GO:0009536,GO:0009706,GO:0009941,GO:0016020,GO:0016491,GO:0019866,GO:0031090,GO:0031967,GO:0031969,GO:0031975,GO:0042170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0055114,GO:0071944"
g278,EOY23036,"GO:0003674,GO:0003824,GO:0004396,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006000,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008865,GO:0009058,GO:0009987,GO:0010035,GO:0010038,GO:0016051,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019200,GO:0019318,GO:0019752,GO:0032787,GO:0042221,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044262,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046686,GO:0046835,GO:0050896,GO:0071704,GO:0072330,GO:1901576"
g1956,EOY24517,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0019899,GO:0019900,GO:0019901,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043424,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464"
g2188,EOY23027,"GO:0000003,GO:0000902,GO:0001101,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006629,GO:0006720,GO:0006721,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009314,GO:0009416,GO:0009628,GO:0009639,GO:0009648,GO:0009653,GO:0009685,GO:0009686,GO:0009719,GO:0009725,GO:0009739,GO:0009740,GO:0009755,GO:0009791,GO:0009826,GO:0009908,GO:0009987,GO:0010033,GO:0010228,GO:0010476,GO:0010817,GO:0016043,GO:0016049,GO:0016053,GO:0016101,GO:0016102,GO:0016114,GO:0016491,GO:0016705,GO:0016706,GO:0019752,GO:0022414,GO:0023052,GO:0032501,GO:0032502,GO:0032870,GO:0032989,GO:0033993,GO:0040007,GO:0042221,GO:0042445,GO:0042446,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0045544,GO:0046394,GO:0048366,GO:0048367,GO:0048572,GO:0048573,GO:0048575,GO:0048589,GO:0048608,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051213,GO:0051716,GO:0055114,GO:0060560,GO:0061458,GO:0065007,GO:0065008,GO:0070887,GO:0071229,GO:0071310,GO:0071370,GO:0071396,GO:0071495,GO:0071704,GO:0071840,GO:0080167,GO:0090567,GO:0099402,GO:1901576,GO:1901700,GO:1901701"
g1951,EOY24523,"GO:0002376,GO:0003674,GO:0003824,GO:0004842,GO:0005575,GO:0005911,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009506,GO:0009605,GO:0009607,GO:0009814,GO:0009987,GO:0010498,GO:0016567,GO:0016740,GO:0019538,GO:0019787,GO:0019941,GO:0030054,GO:0030163,GO:0032446,GO:0036211,GO:0043161,GO:0043170,GO:0043207,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0045087,GO:0050896,GO:0051603,GO:0051704,GO:0051707,GO:0055044,GO:0061630,GO:0061659,GO:0070647,GO:0071704,GO:0098542,GO:0140096,GO:1901564,GO:1901565,GO:1901575"
g881,EOY23444,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006996,GO:0008150,GO:0009507,GO:0009526,GO:0009527,GO:0009536,GO:0009657,GO:0009658,GO:0009707,GO:0009941,GO:0009987,GO:0010020,GO:0016020,GO:0016043,GO:0019867,GO:0031090,GO:0031967,GO:0031968,GO:0031969,GO:0031975,GO:0042170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043572,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0048285,GO:0071840,GO:0098588,GO:0098805"
g1028,EOY24953,"GO:0000245,GO:0000375,GO:0000377,GO:0000398,GO:0000974,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005681,GO:0005684,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016071,GO:0022607,GO:0022613,GO:0022618,GO:0031974,GO:0031981,GO:0032991,GO:0034622,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0065003,GO:0070013,GO:0071007,GO:0071010,GO:0071011,GO:0071012,GO:0071013,GO:0071014,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1902494,GO:1990904"
g1126,Gorai.006G192200.1,"GO:0001678,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005794,GO:0005886,GO:0005911,GO:0006355,GO:0006357,GO:0006996,GO:0007010,GO:0007015,GO:0007154,GO:0007165,GO:0008064,GO:0008092,GO:0008150,GO:0009506,GO:0009507,GO:0009536,GO:0009743,GO:0009746,GO:0009749,GO:0009756,GO:0009757,GO:0009889,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010182,GO:0010255,GO:0010468,GO:0010556,GO:0010639,GO:0012505,GO:0016020,GO:0016043,GO:0019219,GO:0019222,GO:0019725,GO:0022607,GO:0023052,GO:0030029,GO:0030036,GO:0030054,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0031090,GO:0031323,GO:0031326,GO:0031333,GO:0032271,GO:0032272,GO:0032535,GO:0032956,GO:0032970,GO:0032991,GO:0033043,GO:0033500,GO:0034284,GO:0042221,GO:0042592,GO:0042593,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043242,GO:0043244,GO:0043254,GO:0044085,GO:0044087,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0046686,GO:0048519,GO:0048523,GO:0048878,GO:0050789,GO:0050794,GO:0050896,GO:0051015,GO:0051017,GO:0051128,GO:0051129,GO:0051171,GO:0051252,GO:0051493,GO:0051494,GO:0051693,GO:0051716,GO:0055044,GO:0055082,GO:0060255,GO:0061572,GO:0065007,GO:0065008,GO:0070887,GO:0071310,GO:0071322,GO:0071326,GO:0071331,GO:0071333,GO:0071840,GO:0071944,GO:0080090,GO:0090066,GO:0097435,GO:0098588,GO:0098805,GO:0110053,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1902903,GO:1902904,GO:1903506,GO:2000112,GO:2001141"
g649,EOY22608,"GO:0000278,GO:0000281,GO:0000910,GO:0000911,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0007049,GO:0008150,GO:0009825,GO:0009987,GO:0016020,GO:0016049,GO:0022402,GO:0030135,GO:0030136,GO:0031410,GO:0031982,GO:0032506,GO:0040007,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044444,GO:0044464,GO:0051301,GO:0061640,GO:0071944,GO:0097708,GO:1902410,GO:1903047"
g865,EOY23382,"GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0071704,GO:0071944,GO:0140096,GO:1901564"
